"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 18 17:05:45 GMT 2025","Sun May 18 17:06:02 GMT 2025","17074","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"failed","Sun May 18 17:06:02 GMT 2025","Sun May 18 17:06:17 GMT 2025","15027","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 17:06:02 GMT 2025","Sun May 18 17:06:17 GMT 2025","15577","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
"passed","Sun May 18 17:05:45 GMT 2025","Sun May 18 17:05:57 GMT 2025","11552","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 17:05:45 GMT 2025","Sun May 18 17:06:01 GMT 2025","16250","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"failed","Sun May 18 17:06:01 GMT 2025","Sun May 18 17:06:15 GMT 2025","13850","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 17:05:45 GMT 2025","Sun May 18 17:06:02 GMT 2025","16767","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
"failed","Sun May 18 17:05:57 GMT 2025","Sun May 18 17:06:12 GMT 2025","14804","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
