"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 18 17:26:50 GMT 2025","Sun May 18 17:27:16 GMT 2025","26020","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
"failed","Sun May 18 17:26:50 GMT 2025","Sun May 18 17:27:17 GMT 2025","26449","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"failed","Sun May 18 17:27:15 GMT 2025","Sun May 18 17:27:29 GMT 2025","14404","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 17:26:50 GMT 2025","Sun May 18 17:27:15 GMT 2025","24615","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"passed","Sun May 18 17:26:50 GMT 2025","Sun May 18 17:27:11 GMT 2025","20218","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 17:27:11 GMT 2025","Sun May 18 17:27:26 GMT 2025","15494","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
"failed","Sun May 18 17:27:17 GMT 2025","Sun May 18 17:27:32 GMT 2025","14951","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 17:27:16 GMT 2025","Sun May 18 17:27:32 GMT 2025","15057","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
