"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 18 19:22:03 GMT 2025","Sun May 18 19:22:21 GMT 2025","17610","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 19:22:04 GMT 2025","Sun May 18 19:22:21 GMT 2025","17178","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
"failed","Sun May 18 19:22:07 GMT 2025","Sun May 18 19:22:23 GMT 2025","16144","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 19:21:45 GMT 2025","Sun May 18 19:22:04 GMT 2025","19161","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
"failed","Sun May 18 19:21:44 GMT 2025","Sun May 18 19:22:07 GMT 2025","22553","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"passed","Sun May 18 19:21:44 GMT 2025","Sun May 18 19:21:56 GMT 2025","11039","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 19:21:45 GMT 2025","Sun May 18 19:22:03 GMT 2025","18737","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"failed","Sun May 18 19:21:56 GMT 2025","Sun May 18 19:22:13 GMT 2025","17151","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
