"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 18 17:16:11 GMT 2025","Sun May 18 17:16:27 GMT 2025","15929","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
"failed","Sun May 18 17:15:53 GMT 2025","Sun May 18 17:16:19 GMT 2025","25981","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"failed","Sun May 18 17:16:19 GMT 2025","Sun May 18 17:16:35 GMT 2025","16359","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
"passed","Sun May 18 17:15:53 GMT 2025","Sun May 18 17:16:11 GMT 2025","17948","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 17:16:19 GMT 2025","Sun May 18 17:16:34 GMT 2025","14916","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 17:16:17 GMT 2025","Sun May 18 17:16:33 GMT 2025","15614","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 17:15:53 GMT 2025","Sun May 18 17:16:17 GMT 2025","23981","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"failed","Sun May 18 17:15:53 GMT 2025","Sun May 18 17:16:19 GMT 2025","25572","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
