"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun May 18 19:05:18 GMT 2025","Sun May 18 19:05:34 GMT 2025","16648","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
"passed","Sun May 18 19:05:18 GMT 2025","Sun May 18 19:05:28 GMT 2025","10336","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 19:05:18 GMT 2025","Sun May 18 19:05:35 GMT 2025","17471","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"failed","Sun May 18 19:05:18 GMT 2025","Sun May 18 19:05:37 GMT 2025","19813","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"failed","Sun May 18 19:05:37 GMT 2025","Sun May 18 19:05:52 GMT 2025","14522","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 19:05:35 GMT 2025","Sun May 18 19:05:50 GMT 2025","14644","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 19:05:35 GMT 2025","Sun May 18 19:05:50 GMT 2025","14719","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
"failed","Sun May 18 19:05:28 GMT 2025","Sun May 18 19:05:44 GMT 2025","16004","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
