"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 18 19:17:12 GMT 2025","Sun May 18 19:17:42 GMT 2025","29766","","tests.MainPageTest","","tests.MainPageTest","LoginTest","LoginTest()","Smoke test for login"
"failed","Sun May 18 19:17:49 GMT 2025","Sun May 18 19:18:06 GMT 2025","16355","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [3] Essen, Berlin","Smoke test for search"
"failed","Sun May 18 19:17:12 GMT 2025","Sun May 18 19:17:49 GMT 2025","37388","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [1] Berlin, Bonn","Smoke test for search"
"failed","Sun May 18 19:17:12 GMT 2025","Sun May 18 19:17:49 GMT 2025","36988","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [6] Berlin, Hamburg","Smoke test for search"
"failed","Sun May 18 19:17:52 GMT 2025","Sun May 18 19:18:08 GMT 2025","16209","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [5] Dortmund, Essen","Smoke test for search"
"failed","Sun May 18 19:17:49 GMT 2025","Sun May 18 19:18:07 GMT 2025","17588","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [4] Stuttgart, Düsseldorf","Smoke test for search"
"failed","Sun May 18 19:17:12 GMT 2025","Sun May 18 19:17:52 GMT 2025","40180","","tests.SearchTest","","tests.SearchTest","searchE2ETest","searchE2ETest()","Main scenario"
"failed","Sun May 18 19:17:42 GMT 2025","Sun May 18 19:17:59 GMT 2025","17017","","tests.SearchTest","","tests.SearchTest","searchSmokeTest","searchSmokeTest(String, String) [2] Hamburg, Stuttgart","Smoke test for search"
